cuisine,avg_rating,std_rating,review_count,avg_sentiment
Seafood Markets,4.196341463414634,1.18671370054866,820,0.7865853658536586
Acai Bowls,4.194444444444445,1.2293842220472642,2592,0.8182870370370371
Gastropubs,4.182725527831094,1.2558652944363655,2605,0.7969289827255278
French,4.182325886990801,1.2079373239196602,6088,0.7969776609724047
Lebanese,4.173546756529065,1.1752970878250713,1187,0.8222409435551812
Pop-Up Restaurants,4.157377049180328,1.133815074335012,610,0.8131147540983606
Cuban,4.153846153846154,1.275398624364906,247,0.757085020242915
Beer,4.148662782011057,1.21392004371326,13386,0.7986702525026147
Wine & Spirits,4.148662782011057,1.21392004371326,13386,0.7986702525026147
Beer Bar,4.129243005254936,1.2108874507380234,7041,0.7920749893481039
Ramen,4.1289647960962,1.271164346370173,2869,0.7737887765772046
Taiwanese,4.123493975903615,1.1969503064717222,664,0.786144578313253
German,4.119047619047619,1.2166197882442142,798,0.8045112781954887
Ethiopian,4.118131868131868,1.23529402224971,364,0.7884615384615384
Brazilian,4.11716621253406,1.3202519349546364,367,0.784741144414169
Cafeteria,4.116279069767442,1.2763284829761723,43,0.7906976744186046
Food Trucks,4.111888111888112,1.4684709644076663,143,0.7412587412587412
Delis,4.1095369730476845,1.2918194194943962,8682,0.7894494356139139
Cupcakes,4.108888888888889,1.3278450519766594,450,0.7888888888888889
Specialty Food,4.107884490590526,1.27006094861661,6164,0.7824464633354964
Moroccan,4.107142857142857,1.227441956515157,28,0.8214285714285714
Wine Bars,4.10239342869282,1.2643605829593265,14122,0.7838124911485626
Cocktail Bars,4.101545371905246,1.2384690682808102,18701,0.7816694294422758
Pubs,4.096823457544288,1.2049783387305335,3274,0.8026878436163715
Middle Eastern,4.096590909090909,1.244627517341228,1584,0.7954545454545454
American (New),4.094939543215405,1.239004406062358,44660,0.7796686072548141
Health Markets,4.093370681605975,1.2882767970724305,2142,0.7931839402427637
Irish,4.085910652920962,1.1549775840144167,291,0.8178694158075601
Soul Food,4.082491582491582,1.305687333907185,594,0.765993265993266
Kombucha,4.0699588477366255,1.239519200956226,243,0.7983539094650206
Mediterranean,4.065524496543433,1.3157215392694745,3327,0.7709648331830478
Breweries,4.058567603748327,1.2982889862091944,2988,0.7827978580990629
Juice Bars & Smoothies,4.057467824004789,1.2701265398647068,6682,0.7865908410655492
Bars,4.05631728251382,1.2610594233989296,54992,0.774639947628746
Nightlife,4.053768896976484,1.263555867949212,57152,0.7734812430011199
Donuts,4.052863436123348,1.341748624005777,1362,0.7606461086637298
Bakeries,4.051960710804528,1.2919328635618565,13337,0.776486466221789
Tapas/Small Plates,4.049977787649933,1.275593792732076,4502,0.7612172367836517
Sandwiches,4.047087469563588,1.303179642372314,26695,0.7674470874695636
