city,price_tier,count
Carpinteria,1.0,2347
Carpinteria,2.0,8863
Carpinteria,3.0,343
Goleta,1.0,10807
Goleta,2.0,15001
Goleta,3.0,64
Goleta,4.0,10
Isla Vista,1.0,4010
Isla Vista,2.0,1955
Montecito,2.0,1380
Montecito,3.0,274
Montecito,4.0,583
Santa  Barbara,1.0,147
Santa Barbara,1.0,18446
Santa Barbara,2.0,111562
Santa Barbara,3.0,12331
Santa Barbara,4.0,970
Summerland,1.0,64
Summerland,2.0,1274
Truckee,1.0,26
