cuisine,avg_rating,positive_sentiment,review_count,median_price,rank_score
Jazz & Blues,4.247443762781186,85.07157464212679,489,2.0,0.6053745874146517
Seafood,3.9275737623625995,74.02958759194468,36299,2.0,0.6047447923720121
Coffee & Tea,4.045098204501391,77.40032032369552,23726,2.0,0.6038766007889805
International Grocery,4.278260869565218,83.47826086956522,345,2.0,0.6028929151594223
Beer,4.148662782011057,79.86702525026146,13386,2.0,0.6028150594753946
Wine & Spirits,4.148662782011057,79.86702525026146,13386,2.0,0.6028150594753946
Cocktail Bars,4.101545371905246,78.16694294422759,18701,2.0,0.6025674454057262
Arts & Entertainment,4.2061199510403915,83.15789473684211,4085,2.0,0.6021398338719905
Fruits & Veggies,4.2,85.26315789473684,95,2.0,0.6014000245250473
Tapas Bars,4.205764966740577,82.4390243902439,2255,2.0,0.5969488686007967
Korean,4.225756798358132,81.83683940482298,1949,2.0,0.5962841618712054
Wine Bars,4.10239342869282,78.38124911485626,14122,2.0,0.5957606578869631
Cajun/Creole,4.199469652327637,81.5262227460224,3394,2.0,0.5955630897180909
Acai Bowls,4.194444444444445,81.82870370370371,2592,1.0,0.5947401899115153
Arabic,4.211538461538462,82.6923076923077,156,2.0,0.5947366967464293
Comfort Food,4.236389684813753,80.94555873925502,1396,2.0,0.5935767707285182
French,4.182325886990801,79.69776609724047,6088,3.0,0.5930916108417589
Lebanese,4.173546756529065,82.22409435551812,1187,2.0,0.5919002668642239
Kebab,4.336633663366337,78.21782178217822,101,2.0,0.5915121358429485
American (Traditional),3.8713040240762,73.29589525611988,32231,2.0,0.5912351536353094
Whiskey Bars,4.238095238095238,80.49886621315193,441,2.0,0.5908087120807307
New Mexican Cuisine,4.242918454935622,79.82832618025752,1165,2.0,0.5903827320468361
Delis,4.1095369730476845,78.94494356139138,8682,2.0,0.5891059444132405
Beer Bar,4.129243005254936,79.20749893481039,7041,2.0,0.5888196652314828
Bakeries,4.051960710804528,77.6486466221789,13337,2.0,0.5881256076424016
Gastropubs,4.182725527831094,79.69289827255278,2605,2.0,0.5873902281492968
Pop-Up Restaurants,4.157377049180328,81.31147540983606,610,2.0,0.5868849066465868
Farmers Market,4.202260559190957,79.41701368233196,1681,2.0,0.5866519941978646
Moroccan,4.107142857142857,82.14285714285714,28,3.0,0.5842914969232804
Pubs,4.096823457544288,80.26878436163715,3274,2.0,0.5831509545197341
Specialty Food,4.107884490590526,78.24464633354964,6164,2.0,0.582734170441515
Seafood Markets,4.196341463414634,78.65853658536585,820,2.0,0.582475809425029
Irish,4.085910652920962,81.78694158075601,291,2.0,0.5819092670568827
German,4.119047619047619,80.45112781954887,798,2.0,0.5814599532139032
Cafes,4.0070120442171255,77.07474014189077,12122,2.0,0.5807115849464135
Juice Bars & Smoothies,4.057467824004789,78.65908410655493,6682,2.0,0.5806812982661393
Middle Eastern,4.096590909090909,79.54545454545455,1584,2.0,0.5781865839951971
Health Markets,4.093370681605975,79.31839402427637,2142,2.0,0.5781568616101479
Salad,3.9655713870311136,74.40535039255597,17195,2.0,0.5776255644236155
Desserts,4.018022056845692,75.92575988523267,11153,2.0,0.5765789746905664
Ramen,4.1289647960962,77.37887765772045,2869,2.0,0.5764598186946882
Taiwanese,4.123493975903615,78.6144578313253,664,2.0,0.5760956112099439
Ethiopian,4.118131868131868,78.84615384615384,364,2.0,0.5758570114987683
Cafeteria,4.116279069767442,79.06976744186046,43,1.0,0.5758483236257529
Cupcakes,4.108888888888889,78.88888888888889,450,2.0,0.5753661975096568
Brazilian,4.11716621253406,78.4741144414169,367,2.0,0.5746663935524389
Kombucha,4.0699588477366255,79.83539094650206,243,2.0,0.5746637381397247
Breweries,4.058567603748327,78.27978580990629,2988,2.0,0.5735677151665498
Tacos,4.033858531679518,77.20415688903788,5966,2.0,0.5731988388046049
Gluten-Free,4.031821906582901,76.07211144496038,7322,2.0,0.5718619594730983
Mediterranean,4.065524496543433,77.09648331830478,3327,2.0,0.5711467125580131
Cuban,4.153846153846154,75.7085020242915,247,2.0,0.5691894617355734
Tapas/Small Plates,4.049977787649933,76.12172367836517,4502,2.0,0.5688732403103898
Fish & Chips,3.985857500895095,77.03186537773004,5586,2.0,0.5681098059943301
Vegan,4.038516405135521,75.62665579783983,4907,2.0,0.5671104011470987
Soul Food,4.082491582491582,76.5993265993266,594,2.0,0.5665627749436564
Music Venues,3.9890625,78.28125,1280,2.0,0.565050425102237
Burgers,3.8784480690813146,72.82921563924202,16676,2.0,0.564878890915259
