rating_category,avg_sentiment,std_sentiment,count
Poor,0.04881371997274962,0.21548159095209163,33761
Average,0.4188800967693161,0.49338811338636585,19841
Good,0.9104702022963368,0.28551019255728405,43896
Excellent,0.9774661269001983,0.14841268521392703,96832
