city,positive_sentiment_pct,avg_rating,review_count,median_price
Truckee,96.15384615384616,5.0,26,1.0
Santa  Barbara,77.55102040816327,4.0,147,1.0
Summerland,75.94846098783107,4.019685039370079,1397,2.0
Santa Barbara,75.55224740683826,3.992522364304923,145768,2.0
Montecito,75.53353658536585,4.097179878048781,2624,2.0
Carpinteria,73.42474972659207,3.917052241944982,11887,2.0
Isla Vista,71.19856887298748,3.790047162140185,6149,1.0
Goleta,68.95032659881512,3.773716390703327,26332,2.0
