month_name,avg_stars,review_count
January,3.9411727214786487,15690
February,3.9413390451184966,14473
March,3.962350780532599,15246
April,3.963180294041785,15508
May,3.9417957405614716,16528
June,3.9358403136695777,16833
July,3.956334094947956,19695
August,3.9643764556426,18892
September,3.954299081417242,17527
October,3.957032730949071,15826
November,3.961840935512549,14623
December,3.9310549336496403,13489
